Proteins,Compartments,Cyto,Nsol,NucI,Horg,Lorg,Colour
STT3B,S2,-1.4002661404936714,-1.5866483317549513,0.2641579988530791,0.8416911513820333,0.452485932964676,orange
STX10,S1,-0.7650657588446018,-0.8577326173218695,-0.07728834877950824,0.4537169543451865,1.0966881167811915,gold
STX12,S1,-0.7411725869288359,-1.0249502202143783,-0.10359961224276111,0.5367579007009242,1.095839438111112,gold
STX16,S1,-0.9700345433609905,-1.2989813073069187,-0.18962982446362203,0.6317746737716196,1.1220346841489985,gold
STX17,S3,-1.12345603727739,-0.8692253404449655,0.1475044895522919,0.8940970955415503,0.42287617898750907,salmon
STX18,S2,-0.9616564469156745,-1.293289627205789,0.09296256739625539,0.8195507811898561,0.694105055385828,orange
STX3,S1,-0.7082020188531526,-1.134204615017345,0.05949358487859386,0.5805946238640365,0.8301073448477999,gold
STX4,S4,-1.2054819093610747,-1.4421440869081743,0.5096916584878308,0.7994122759944063,0.28692858279837014,tomato2
STX5,S1,-0.9065278125508673,-1.2574142202116616,-0.089176333359437,0.8498642584515304,0.9085922775669228,gold
STX6,S1,-1.1269716271523493,-1.5154631448292313,-0.1211324501162512,0.6308589998888048,1.2056761080583787,gold
STX7,S1,-1.0499893694071019,-1.2199332165641201,-0.08081904279083539,0.5604942273563223,0.9964145641898886,gold
STX8,S1,-1.0356485635029185,-1.2870817304491275,-0.16697870844716242,0.7408777857789175,0.976809022903055,gold
STXBP3,S4,-0.6273899127917413,-0.8185937303282094,0.4573404270872893,0.7664429176486495,0.2878510315141483,tomato2
SUCO,S2,-1.461166761120042,-1.4086355635363268,0.11394758440618283,1.0168282956073085,0.5356512739114382,orange
SUGP1,N4,-0.8109816791291653,1.087786841366194,0.1352841188655585,-0.35457237590918056,-0.4352742274116378,grey30
SUGP2,N3,-1.2816332799666972,-1.1792068789978625,1.0710008475426318,0.03030342548241105,0.41086988154724535,grey50
SUGT1,C3,1.5970711347451994,0.42205197505425657,-0.5348178660028824,-0.4088033363512942,-0.6859819257935011,cyan
SUN1,N3,-1.0095349635358497,-1.176270413835017,1.2254115549149143,0.2987631638431962,-0.542498508131958,grey50
SUN2,N3,-1.1061043646173523,-1.2317237779954064,1.1555599381472215,0.24656212197686556,-0.18339627564204722,grey50
SUOX,N4,-0.5454467681536606,0.8049174230342685,0.043888257058392964,0.2986767875137813,-0.6907855749567398,grey30
SUPT16H,N3,-0.8494181759700028,-0.8158808370526369,1.094199703332283,0.3976076739064547,-0.4828339299998422,grey50
SUPT4H1,N4,0.004238091107920228,1.0676376411667292,0.3601975258407497,-0.4931974136847024,-1.0903656864462414,grey30
SUPT5H,N4,-0.6677301032864607,0.9104221250698163,0.5469369790760787,-0.40999854780581985,-0.8452450228663638,grey30
SUPT6H,N2,-0.9469076793125981,0.47213790651406184,0.7542368641780999,-0.13044465800703942,-0.3678021100483002,grey70
SUPV3L1,M1,-0.9336988882094805,-0.3607247411747463,0.42852678376458353,0.8493351010115078,-0.2926951488217975,burlywood4
SURF1,M2,-0.8044493397056431,-1.0442837568234515,0.24016766565681918,1.1517366695926516,-0.14270415347635512,tan4
SURF4,S2,-0.8380107063535964,-1.6374645385181845,0.13882038980829467,0.5487012617008241,0.8931795794449485,orange
SURF6,N3,-1.0866730230208854,-1.1471835980412477,1.1611263764788573,-0.15106831770290546,0.27224841009044487,grey50
SUV39H2,N3,-1.3550740489515976,-1.3135593771070382,1.4610865549221437,0.174850184585871,-0.9166452121445647,grey50
SUV420H1,N3,-0.7292902625238036,-1.1844392741522793,1.3436533323602067,0.10046801570093958,-0.6829582107388801,grey50
SWAP70,C3,1.8511428254633508,0.5095375756008058,-0.8300481645994515,-0.7341391710765104,-0.9702635324822414,cyan
SYMPK,N2,-1.2618168979247408,-0.3190745375855981,0.9552646520603515,-0.035913370326671315,0.26972094547328007,grey70
SYNCRIP,N1,-0.7288670107521049,-0.6657354383275965,0.28203020633351117,-0.28683828395863786,1.1384676429944875,grey90
SYNE2,N3,-0.8557018218560479,-1.0805552063396666,1.1845712933215626,0.27547475258731546,-0.3256986490115853,grey50
SYNE3,N3,-0.837797401588418,-0.8107029447820471,1.0714201680217674,0.29430629016445586,-0.23645851946335347,grey50
SYNGR2,S1,-0.48542345546081545,-1.0989078817010043,-0.26487513411656716,0.5894507539546672,1.075617414533747,gold
SYNJ1,C2,1.042249402973511,0.47516522282399176,-0.2795427035933894,-0.21780092897546782,-0.405891303257115,aquamarine
SYNJ2BP,M2,-0.5814390423174778,-0.9640680405592044,0.3792910919287361,0.9809537457235751,-0.1541439908497534,tan4
SYNRG,C2,1.5079655189858419,0.21543349630733272,-0.4780093456592487,-0.20525739081199385,-0.0676634455930521,aquamarine
SYPL1,S1,-0.614612869387621,-0.6596495252720787,-0.10772229702128304,0.3786016029197068,0.9958294796643287,gold
SYS1,S1,-0.5152630079618636,-0.9583415845013894,-0.2549524922464835,0.6715885746379964,0.8377329099658664,gold
